vendor_id,vendor_name,city,state,logo_filename,notes
533,A Bargain Junkyard,New York,NY,,
534,A Better Deal Auto & Truck,Portland,OR,,
535,A Bickoff & Son,East Rutherford,NJ,,
536,A C Salvage,Fort Pierce,FL,,
537,A C's Truck Parts,Stockbridge,GA,,
538,A Combined Used Truck Parts,Abbotsford,BC,,
55,A Double L Auto Salvage,Louisville,KY,,
539,A Liberty Auto Parts & Recyclers,Hamilton,ON,,
540,A Lot Of Used Auto Parts & Aftermarket Auto Parts,Saint John,NB,,
541,A Northside Auto Salvage,Huntsville,AL,,
542,A PartsMart Inc.,Salt Lake City,UT,,
543,"A Plus Auto Parts, Inc.",Pasadena,TX,,
544,A Plus Auto Salvage,Fort Worth,TX,,
545,A Richner's Auto Salvage,Howard,PA,,
56,A Salvage Auto Parts Locator,Lexington,NC,,
550,A U-Pull It,Canutillo,TX,,
551,A Utility Central Used Auto Parts,Medley,FL,,
552,A W Martin Inc,New Bedford,MA,,
553,A W Scrap Processors Inc,Wappingers Falls,NY,,
527,A and A Auto Glass,Brooklyn,NY,,
528,A and D Used Auto Parts and Cars Inc.,Corona,NY,,
529,A and I Auto Recyclers,Fort Worth,TX,,
530,A and M Used Car Parts,Paterson,NJ,,
546,A to Z Auto,Phoenix,AZ,,
548,A to Z Auto Parts,Spring Lake,MI,,
549,A to Z Auto Parts,Apopka,FL,,
547,A to Z Auto and Truck Parts,Palmetto,GA,,
554,A&A Auto Wreckers,Whippany,NJ,,
555,"A&A Iron and Metal Co., LLC",North Bergen,NJ,,
556,A&A Rapido Auto Parts,Miami,FL,,
557,A&E Metals Recycling and Packaging Inc,Westport,MA,,
558,"A&G Auto Recycling, Inc.",Creswell,OR,,
559,A&J Cleaning Pro,Bridgeport,CT,,
560,A&L Auto Recyclers,Lakeshore,ON,,
561,A&L Auto Recyclers,Detroit,MI,,
562,A&M Auto Parts Store,Ypsilanti,MI,,
563,A&P Auto Parts INC.,Cicero,NY,,
564,A&P Auto Parts Rochester INC.,Palmyra,NY,,
565,A+ Price is Right,Vinton,VA,,
566,A-1 Auto,Lake City,TN,,
567,A-1 Auto & Cycle Salvage,Crestline,OH,,
568,A-1 Auto & Spring,Alliance,OH,,
569,"A-1 Auto Body, Ltd.",Calgary,AB,,
607,A-1 Auto Center,Lake City,TN,,
608,A-1 Auto Center,Johnson City,TN,,
570,A-1 Auto Dismantlers,Antioch,CA,,
571,A-1 Auto Parts,Toledo,OH,,
572,A-1 Auto Parts,Dallas,TX,,
573,A-1 Auto Parts,Lafayette,LA,,
574,A-1 Auto Parts & Sales,Wilmington,DE,,
610,A-1 Auto Parts & Supply,Toledo,OH,,
599,A-1 Auto Parts Center,Toledo,OH,,
600,A-1 Auto Parts Center,Dallas,TX,,
601,A-1 Auto Parts Center,Lafayette,LA,,
596,A-1 Auto Recycle Center,Columbia,MO,,
597,A-1 Auto Recycle Center,Fulton,MO,,
598,A-1 Auto Recycle Center,Rapid City,SD,,
575,A-1 Auto Recyclers,Columbia,MO,,
576,A-1 Auto Recyclers,Fulton,MO,,
577,A-1 Auto Recyclers,Brantford,ON,,
578,A-1 Auto Recyclers,Rapid City,SD,,
604,A-1 Auto Recyclers & Parts,Columbia,MO,,
605,A-1 Auto Recyclers & Parts,Fulton,MO,,
606,A-1 Auto Recyclers & Parts,Rapid City,SD,,
588,A-1 Auto Recyclers & Supply,Columbia,MO,,
589,A-1 Auto Recyclers & Supply,Fulton,MO,,
590,A-1 Auto Recyclers & Supply,Rapid City,SD,,
579,A-1 Auto Repair & Tow Service,Winnemucca,NV,,
346,A-1 Auto Salvage,Kirtland,NM,,
580,A-1 Auto Salvage,West Memphis,AR,,
581,A-1 Auto Salvage,Johnson City,TN,,
594,A-1 Auto Salvage & Center,Johnson City,TN,,
587,A-1 Auto Salvage & Parts,West Memphis,AR,,
585,A-1 Auto Salvage & Recyclers,Johnson City,TN,,
591,A-1 Auto Salvage & Recycling,West Memphis,AR,,
603,A-1 Auto Salvage & Supply,West Memphis,AR,,
593,A-1 Auto Salvage Center,Johnson City,TN,,
582,A-1 Auto Supply,Springfield,OR,,
609,A-1 Auto Supply & Center,Springfield,OR,,
602,A-1 Auto Supply & Parts,Springfield,OR,,
592,A-1 Auto Supply & Recycling,Springfield,OR,,
586,A-1 Auto Supply & Salvage,Springfield,OR,,
595,A-1 Auto Supply Center,Springfield,OR,,
376,"A-1-A Auto Parts, Inc.",Lakeland,FL,,
311,A-Abco Fridley Recycled Auto,Fridley,MN,,
611,A1 Repairable Wrecks,Atkinson,NH,,
612,A1- Zehners Junk Car Removal & Hauling,Jim Thorpe,PA,,
613,A2Z Auto Body Parts,Dallas,TX,,
614,AA Auto Parts,Tucson,AZ,,
615,AA Auto Parts,Denver,CO,,
616,AA Auto Parts,Lincolnton,NC,,
617,AA Auto Parts Online,North Little Rock,AR,,
618,"AA Auto Salvage & Recycling, LLC",Defuniak Springs,FL,,
619,"AA Dallas Auto Salvage, Inc.",Dallas,TX,,
620,AA Global Auto Dismantling,San Bernardino,CA,,
621,AA Phoenix Import & Domestic Auto,Phoenix,AZ,,
622,AAA All Car Auto Salvage,Avenel,NJ,,
623,AAA Auto Dismantling,Duarte,CA,,
57,AAA Auto Parts,Evansville,IN,,
624,AAA Auto Parts,Sun Valley,CA,,
625,AAA Auto Recyclers,Dallas,TX,,
626,AAA Auto Recyclers,Ennis,TX,,
627,"AAA Auto Sales Parts & Service, Inc",Orlando,FL,,
628,AAA Auto Salvage,Lyles,TN,,
629,AAA Auto Salvage,Quinlan,TX,,
630,AAA Auto Salvage,Rosemount,MN,,
631,AAA Auto Salvage & Towing,Soddy Daisy,TN,,
632,"AAA Auto Salvage, Inc.",High Point,NC,,
633,AAA Auto Wrecking,Kent,WA,,
634,AAA Broadway Auto Parts,Phoenix,AZ,,
635,AAA Dodge Truck & Van,Rancho Cordova,CA,,
636,AAA Foreign Auto Recycling,Chula Vista,CA,,
637,AAA Imports – Foreign & Domestic Auto Parts,Houston,TX,,
320,"AAA Japanese Imports, Inc.",Houston,TX,,
638,AAA Junk Removal,West Newton,MA,,
639,AAA Management,Monroe Township,NJ,,
377,AAA Parts Plus,Columbus,GA,,
640,AAA Used Auto Sales & Parts LLC,Detroit,MI,,
642,AAAA CO – Yard #6,Lorton,VA,,
643,AABC Discount Used Auto Parts,Richmond,BC,,
321,AALBA Auto Wrecking Inc.,Ridgewood,NY,,
644,AAble Auto Parts,Augusta,ME,,
648,AAction Auto Parts,Savannah,GA,,
338,APS Auto Parts,Effingham,IL,,
324,"ASAP Motors & Parts Systems, Inc.",Houston,TX,,
645,Aable Auto Salvage Inc,Bay Shore,NY,,
646,Aachen Auto,Ypsilanti,MI,,
647,Aacon Auto Parts,Los Angeles,CA,,
649,Aadco Auto Parts,Brampton,ON,,
650,Aaron Auto Supply Corp.,Medford,NY,,
58,Able Auto Wrecking,San Diego,CA,,
59,Abrakadabra Used Auto Parts,Opa Locka,FL,,
347,Absolute German,Seattle,WA,,
60,Ace Auto Wreckers,Deer Park,NY,,
